Character           Frequency           Code                
!                   112                 0011001011          
"                   391                 00110001            
'                   233                 001110000           
(                   18                  1011100101101       
)                   18                  1011100101110       
,                   1938                001101              
-                   292                 101110011           
.                   1512                1110011             
0                   2                   0011001010011011    
1                   5                   00110010100000      
2                   1                   0011001010000100    
3                   3                   001100101000011     
4                   4                   001100101000110     
5                   2                   0011001010001011    
6                   2                   0011001010011010    
7                   1                   0011001010001010    
9                   4                   001100101001100     
:                   40                  111001011010        
;                   56                  00110010101         
?                   67                  10111001010         
A                   312                 111001000           
B                   280                 101110001           
C                   160                 1110010011          
D                   42                  111001011011        
E                   95                  0011000010          
F                   188                 001100000           
G                   18                  1011100101100       
H                   141                 1011100100          
I                   261                 001110011           
J                   93                  11100101111         
K                   1                   0011001010000101    
L                   45                  111001011101        
M                   197                 001100100           
N                   245                 001110010           
O                   80                  11100101100         
P                   50                  00110000111         
Q                   4                   001100101000111     
R                   49                  00110000110         
S                   339                 111001010           
T                   430                 00110011            
U                   15                  0011001010010       
V                   9                   00110010100111      
W                   120                 0011100010          
X                   3                   001100101000100     
Y                   21                  1011100101111       
a                   10834               1101                
b                   2029                001111              
c                   2663                101111              
d                   6281                0000                
e                   17214               100                 
f                   2878                00010               
g                   2761                111000              
h                   8491                0111                
i                   7886                0110                
j                   120                 0011100011          
k                   985                 0011101             
l                   5847                11101               
m                   3494                00100               
n                   9253                1010                
o                   9890                1100                
p                   2149                101100              
q                   153                 1110010010          
r                   7643                0100                
s                   7685                0101                
t                   11515               1111                
u                   3428                00011               
v                   1192                1011101             
w                   3518                00101               
x                   274                 101110000           
y                   2173                101101              
z                   45                  111001011100        
